Bin Content and Error unit: (Events/[day x 100t x N_h])						
						
Nbins	N_h	Energy 	Width	Content		Error 		Residuals 
     	   	[keV] 	[keV] 	       		     		[(Data-fit)/sigma]
188	279	670.93	2.55502	0.140815	0.0155504	-0.880817
189	280	673.485	2.5561	0.142532	0.0156449	-0.61054
190	281	676.041	2.55719	0.157987	0.0164713	0.184457
191	282	678.598	2.55827	0.15627		0.0163815	0.705635
192	283	681.156	2.55936	0.144249	0.0157389	0.0157295
193	284	683.716	2.56044	0.139097	0.0154553	-0.332469
194	285	686.276	2.56152	0.10647		0.0135216	-2.40373
195	286	688.837	2.56261	0.109904	0.013738	-1.547
196	287	691.4	2.56369	0.13738		0.0153596	0.454154
197	288	693.964	2.56477	0.139097	0.0154553	0.444506
198	289	696.529	2.56586	0.142532	0.0156449	1.05929
199	290	699.094	2.56694	0.13738		0.0153596	1.1035
200	291	701.661	2.56802	0.101318	0.0131904	-1.1547
201	292	704.229	2.56911	0.116773	0.0141608	-0.0122562
202	293	706.798	2.57019	0.115056	0.0140563	0.2666
203	294	709.369	2.57127	0.11849		0.0142646	0.774464
204	295	711.94	2.57236	0.096166	0.0128507	-0.615815
205	296	714.512	2.57344	0.0789935	0.011647	-1.98776
206	297	717.086	2.57452	0.109904	0.013738	0.600013
207	298	719.66	2.57561	0.0910143	0.0125018	-0.247723
208	299	722.236	2.57669	0.0721245	0.0111291	-1.64513
209	300	724.813	2.57777	0.0807108	0.0117729	-0.414014
210	301	727.39	2.57886	0.0927315	0.0126192	0.403376
211	302	729.969	2.57994	0.0772763	0.0115197	-0.366881
212	303	732.549	2.58102	0.0789935	0.011647	-0.0429494
213	304	735.13	2.58211	0.0807108	0.0117729	0.426164
214	305	737.712	2.58319	0.075559	0.0113909	0.272471
215	306	740.295	2.58427	0.061821	0.0103035	-0.799139
216	307	742.88	2.58536	0.103035	0.0133018	2.6366
217	308	745.465	2.58644	0.0583865	0.0100132	-0.71628
218	309	748.052	2.58752	0.0635383	0.0104456	0.029918
219	310	750.639	2.58861	0.0515175	0.00940577	-0.918864
220	311	753.228	2.58969	0.0635383	0.0104456	0.439573
221	312	755.817	2.59077	0.0429313	0.00858625	-1.55681
222	313	758.408	2.59186	0.048083	0.00908683	-0.708416
223	314	761	2.59294	0.0515175	0.00940577	-0.0379047
224	315	763.593	2.59402	0.0463658	0.00892309	-0.431035
225	316	766.187	2.59511	0.0429313	0.00858625	-0.477684
226	317	768.782	2.59619	0.048083	0.00908683	0.126901
227	318	771.378	2.59727	0.0394968	0.00823564	-0.584903
